dt,time_hr,place,price_actual
1/19/2022,14,germany,164.13
1/19/2022,15,germany,180.5
1/19/2022,16,germany,179.26
1/19/2022,17,germany,173.99
1/19/2022,18,germany,167.34
1/19/2022,19,germany,135.61
1/19/2022,20,germany,125.05
1/19/2022,21,germany,120.9
1/19/2022,22,germany,118.08
1/19/2022,23,germany,97.16
1/20/2022,0,germany,90.05
1/20/2022,1,germany,78.94
1/20/2022,2,germany,75.05
1/20/2022,3,germany,72.13
1/20/2022,4,germany,70.99
1/20/2022,5,germany,87.7
1/20/2022,6,germany,96.26
1/20/2022,7,germany,118.95
1/20/2022,8,germany,140.51
1/20/2022,9,germany,130.27
1/20/2022,10,germany,128.47
1/20/2022,11,germany,111.95
1/20/2022,12,germany,94.15
1/20/2022,13,germany,85.54
1/20/2022,14,germany,105.37
1/20/2022,15,germany,111.32
1/20/2022,16,germany,134.86
1/20/2022,17,germany,176.05
1/20/2022,18,germany,192.74
1/20/2022,19,germany,180
1/20/2022,20,germany,152.33
1/20/2022,21,germany,137.91
1/20/2022,22,germany,131.76
1/20/2022,23,germany,121.39
1/21/2022,0,germany,119.19
1/21/2022,1,germany,117.87
1/21/2022,2,germany,110.92
1/21/2022,3,germany,113.14
1/21/2022,4,germany,119.15
1/21/2022,5,germany,120.73
1/21/2022,6,germany,148.76
1/21/2022,7,germany,207.59
1/21/2022,8,germany,223.15
1/21/2022,9,germany,215.79
1/21/2022,10,germany,206.51
1/21/2022,11,germany,206.43
1/21/2022,12,germany,190
1/21/2022,13,germany,170.08
1/21/2022,14,germany,169.29
1/21/2022,15,germany,190
1/21/2022,16,germany,177.44
1/21/2022,17,germany,179.99
1/21/2022,18,germany,165.05
1/21/2022,19,germany,145.81
1/21/2022,20,germany,139.73
1/21/2022,21,germany,132.25
1/21/2022,22,germany,133.59
1/21/2022,23,germany,120.01
1/22/2022,0,germany,123.58
1/22/2022,1,germany,120.3
1/22/2022,2,germany,119.99
1/22/2022,3,germany,121.8
1/22/2022,4,germany,123.57
1/22/2022,5,germany,123.68
1/22/2022,6,germany,120
1/22/2022,7,germany,148.35
1/22/2022,8,germany,186
1/22/2022,9,germany,207.46
1/22/2022,10,germany,211.25
1/22/2022,11,germany,209.69
1/22/2022,12,germany,200.83
1/22/2022,13,germany,188.54
1/22/2022,14,germany,185.88
1/22/2022,15,germany,196.5
1/22/2022,16,germany,197.25
1/22/2022,17,germany,222.31
1/22/2022,18,germany,230.82
1/22/2022,19,germany,214.32
1/22/2022,20,germany,207.14
1/22/2022,21,germany,190.33
1/22/2022,22,germany,193.52
1/22/2022,23,germany,175.07
1/23/2022,0,germany,171.69
1/23/2022,1,germany,183.01
1/23/2022,2,germany,185.22
1/23/2022,3,germany,179.73
1/23/2022,4,germany,179.04
1/23/2022,5,germany,179.49
1/23/2022,6,germany,168.23
1/23/2022,7,germany,172.45
1/23/2022,8,germany,184.93
1/23/2022,9,germany,195.31
1/23/2022,10,germany,195.34
1/23/2022,11,germany,195.87
1/23/2022,12,germany,195.41
1/23/2022,13,germany,186.29
1/23/2022,14,germany,184.49
1/23/2022,15,germany,190
1/23/2022,16,germany,194
1/23/2022,17,germany,214.95
1/23/2022,18,germany,239.49
1/23/2022,19,germany,242.97
1/23/2022,20,germany,224.96
1/23/2022,21,germany,204.84
1/23/2022,22,germany,201
1/23/2022,23,germany,179.97
1/24/2022,0,germany,183.33
1/24/2022,1,germany,179.61
1/24/2022,2,germany,178.3
1/24/2022,3,germany,177.46
1/24/2022,4,germany,177.61
1/24/2022,5,germany,187.48
1/24/2022,6,germany,225.19
1/24/2022,7,germany,265
1/24/2022,8,germany,300.02
1/24/2022,9,germany,299.39
1/24/2022,10,germany,275.88
1/24/2022,11,germany,270
1/24/2022,12,germany,245.84
1/24/2022,13,germany,240.08
1/24/2022,14,germany,244
1/24/2022,15,germany,256.49
1/24/2022,16,germany,273.57
1/24/2022,17,germany,307.38
1/24/2022,18,germany,341.85
1/24/2022,19,germany,315.31
1/24/2022,20,germany,274.98
1/24/2022,21,germany,250
1/24/2022,22,germany,226.81
1/24/2022,23,germany,206.92
1/25/2022,0,germany,215.98
1/25/2022,1,germany,212.9
1/25/2022,2,germany,203.75
1/25/2022,3,germany,196.24
1/25/2022,4,germany,198.99
1/25/2022,5,germany,219.03
